वाह!	Wow!
बचाओ!	Help!
उछलो.	Jump.
कूदो.	Jump.
छलांग.	Jump.
नमस्ते।	Hello!
नमस्कार।	Hello!
वाह-वाह!	Cheers!
चियर्स!	Cheers!
समझे कि नहीं?	Got it?
मैं ठीक हूँ।	I'm OK.
बहुत बढ़िया!	Awesome!
अंदर आ जाओ।	Come in.
बाहर निकल जाओ!	Get out!
चले जाओ!	Go away!
ख़ुदा हाफ़िज़।	Goodbye!
उत्तम!	Perfect!
सही!	Perfect!
आपका स्वागत है।	Welcome.
स्वागतम्।	Welcome.
मज़े करना।	Have fun.
मौज करना।	Have fun.
मज़े करो।	Have fun.
मैं भूल गया।	I forgot.
मैं भूल गई।	I forgot.
मैं पैसे दूंगा।	I'll pay.
मैं ठीक हूँ।	I'm fine.
मेरा पेट भर गया है।	I'm full.
चलो चलें!	Let's go!
मुझे जवाब दो।	Answer me.
पंछी उड़ते हैं।	Birds fly.
माफ़ कीजिए।	Excuse me.
बहुत ख़ूब!	Fantastic!
मैं बेहोश हो गया।	I fainted.
खेद की बात है, लेकिन वैसा ही है।	I fear so.
मैं हँसा।	I laughed.
मैं बोर हो रहा हूँ।	I'm bored.
मेरा दीवालिया हो चुका है।	I'm broke.
मैं थक गया हूँ।	I'm tired.
ठंड हो रही है।	It's cold.
शाबाश!	Well done!
कौन जाने?	Who knows?
किसको पता है?	Who knows?
किसे पता है?	Who knows?
किसे मालूम है?	Who knows?
अद्भुत	Wonderful!
पंछी गाते हैं।	Birds sing.
अंदर आ जाओ।	Come on in.
निश्चित ही	Definitely!
हिलो मत।	Don't move.
आग जलाती है।	Fire burns.
उसका पीछा करो।	Follow him.
मैं थक गया हूँ।	I am tired.
मुझे तैरना आता है।	I can swim.
मैं तैर सकता हूँ।	I can swim.
मैं तुमसे प्यार करती हूँ।	I love you.
मैं तुमसे प्यार करता हूँ।	I love you.
मैं आपसे प्यार करता हूँ।	I love you.
मैं आपसे प्यार करती हूँ।	I love you.
मुझे तुमसे प्यार है।	I love you.
मैं कोशिश करूँगा।	I will try.
मैं आ रहा हूँ।	I'm coming.
मुझे भूख लगी है!	I'm hungry!
मुझे भूख लगी है।	I'm hungry!
उसे अंदर भेजो।	Let him in.
उसे अंगर आने दो।	Let him in.
मुझे बाहर जाने दो!	Let me out!
और एक बार।	Once again.
बैठिए।	Please sit.
शाबाश!	That a boy!
क्या नया है?	What's new?
नया क्या है?	What's new?
वह कौन है?	Who's that?
चिल्लाओ मत!	Don't shout.
चिल्लाईए मत।	Don't shout.
वह खड़ा हो गया।	He stood up.
वह ताकतवर है।	He's strong.
आप कैसे हैं?	How are you?
तुम कैसे हो?	How are you?
तुम कैसी हो?	How are you?
तू कैसा है?	How are you?
तू कैसी है?	How are you?
आप कैसी हैं?	How are you?
आप कैसे हो?	How are you?
मुझे भूख लगी है।	I am hungry.
मुझे दोनो पसंद हैं।	I like both.
मुझे केक अच्छा लगता है।	I like cake.
मुझे कुत्ते अच्छे लगते हैं।	I like dogs.
मुझे गणित पसंद है।	I like math.
मैं आऊंगा।	I'll attend.
कोई नहीं आया।	Nobody came.
क्या मैं ग़लत था?	Was I wrong?
यह क्या है?	What's this?
क्या तुम बीमार हो?	Are you sick?
उसको अंदर ले आओ।	Bring him in.
हमारे साथ आओ।	Come with us.
एसटर मुबारक हो!	Happy Easter!
टॉम चला गया क्या?	Has Tom left?
वह फ़्रानसीसी है।	He is French.
मैं घर पर हूँ।	I am at home.
मैं हिल नहीं सकता।	I can't move.
मुझे नहीं पता।	I don't know.
मुझे नहीं मालूम।	I don't know.
मेरे पास एक गाड़ी है।	I have a car.
मेरे पास एक कुत्ता है।	I have a dog.
मैं समझता हूँ।	I understand.
मैं डॉक्टर हूँ।	I'm a doctor.
मैं भूख से मरा जा रहा हूँ।	I'm starving!
यह किताब है।	It is a book.
बरफ़ गिर रही है।	It's snowing.
बहुत ज़्यादा बड़ा है।	It's too big.
कृपया जाईये।	Please leave.
अविश्वसनीय!	Unbelievable!
हम खुश हैं।	We are happy.
यह क्या है?	What is this?
थक गए हो क्या?	Are you tired?
तुम गाड़ी चला सकते हो क्या?	Can you drive?
मोटे मत हो जाना।	Don't get fat.
हार मत मान लो।	Don't give in.
पीकर खतम करदो।	Drink it down.
मौत तो सभी की होती है।	Everyone dies.
फूल खिलते हैं।	Flowers bloom.
मैं हूँ जो हूँ।	I am who I am.
मैं उसे लेलूँगा।	I'll take him.
मैं अब थक गया हूँ।	I'm tired now.
मैं बहुत व्यस्थ हूँ।	I'm very busy.
वह बिल्ली है क्या?	Is that a cat?
यह मुफ़्त है।	It's for free.
यह मुफ़्त का है।	It's for free.
मुझे दिखाओ।	Let me try it.
मुझे देखने दो।	Let me try it.
मुझे ट्राए करने दो।	Let me try it.
जल्दी कीजिए।	Make it quick.
मैं अंदर आ सकता हूँ क्या?	May I come in?
दरवाज़ा खोलो।	Open the door.
दरवाज़ा खोलिए।	Open the door.
कृपया अंदर आईए।	Please get in.
इसे दोबारा पढ़ें।	Read it again.
पढ़के सुनाओ।	Read it aloud.
वह नीचे झुकी।	She bent down.
कुछ मछलियाँ उड़ सकतीं हैं।	Some fish fly.
यह नक्शा है।	This is a map.
टॉम मेरा लड़का है।	Tom is my son.
हम शहर में हैं।	We're in town.
क्या तुम्हें गोली लग गई थी?	Were you shot?
हमारा क्या?	What about us?
क्या मैं आपकी सहायता कर सकता हूँ?	Can I help you?
क्या मैं आपकी मदद कर सकता हूँ?	Can I help you?
कमरे को साफ़ करो।	Clean the room.
उसे छूना मत।	Don't touch it.
बिस्तर से बाहर निकलो!	Get out of bed!
नव वर्ष की शुभकामनाएं!	Happy New Year!
नए साल की बधाईयाँ।	Happy New Year!
जन्मदिन मुबारक हो!	Happy birthday!
उसके पास दाढ़ी है।	He has a beard.
वह अभिनेता है।	He is an actor.
उसे पैसों की ज़रूरत है।	He needs money.
उसको पैसों की कमी थी।	He was hard up.
मुझे इतिहास पसंद है।	I like history.
मुझे यह कुत्ता अच्छा लगता है।	I like the dog.
मुझे एक तो खरीदना ही होगा।	I must buy one.
मैं वापस आऊँगा।	I'll come back.
मैं तुम्हें फ़ोन करूँगा।	I'll phone you.
मैं घर पर ही रहूँगा।	I'll stay home.
मैं अनीश्वरवादी हूँ।	I'm an atheist.
मैं भगवान में यकीन नहीं करता।	I'm an atheist.
मैं बहुत थक गया हूँ।	I'm very tired.
आज मौसम बहुत गरम है।	It's hot today.
यह किताब है।	It's this book.
तुम्हारी चाल है।	It's your move.
भगवान जाने।	Only God knows.
गर्मियाँ खतम हों चुकीं हैं।	Summer is over.
आराम से आओ।	Take your time.
सोच लो।	Think about it.
यह एक किताब है।	This is a book.
यह किताब है।	This is a book.
यह मेरा बस्ता है।	This is my bag.
यह मेरा कुत्ता है।	This is my dog.
अपने पैर धोओ।	Wash your feet.
हम संगीत की पढ़ाई करते हैं।	We study music.
हम आपको फ़ोन करेंगे।	We'll call you.
हम आपको बुलाएँगे।	We'll call you.
तुम कहाँ थे?	Where were you?
आप कहाँ थे?	Where were you?
तुम्हें जाना होगा।	You have to go.
तुम थके-हारे से लगते हो।	You look tired.
मज़ाक कर रहे हो!	You're kidding!
एक आदमी के लिए काम करना ज़रूरी है।	A man must work.
तुम घर पे हो क्या?	Are you at home?
क्या आप लोग ठीक हो?	Are you guys OK?
जल्दी घर आजाओ।	Come home early.
आ सको तो आना।	Come if you can.
बधाई हो!	Congratulations!
मुबारक हो!	Congratulations!
वह वहाँ गया क्या?	Did he go there?
मेरी याद आई क्या?	Did you miss me?
